"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.03119587776427e-191,1.75219610127988,0.546,0.154,8.34497858655981e-187,"0","PHYHD1"
1.26111151994281e-190,0.759480010789804,1,0.9,2.61062695743362e-186,"0","NPM1"
2.04714880813721e-190,1.18015255912108,0.868,0.4,4.23780274772485e-186,"0","HTATIP2"
7.01418016414307e-190,0.561986017182097,1,0.996,1.45200543577926e-185,"0","RPS23"
3.69130669964106e-189,1.2426605210821,0.869,0.398,7.64137399892697e-185,"0","SLC25A33"
4.4420084210766e-189,1.11455077415453,0.938,0.479,9.19540163247066e-185,"0","DNPH1"
1.03783371491525e-188,1.99570867067419,0.541,0.153,2.14841957324607e-184,"0","SERTAD4-AS1"
1.51831612725632e-188,1.46874672059905,0.683,0.228,3.14306621503331e-184,"0","PFN2"
1.6278203302341e-188,1.43517923795221,0.708,0.253,3.36975086561762e-184,"0","NIPSNAP1"
1.78133685829913e-188,1.34855100853596,0.743,0.271,3.68754543036503e-184,"0","MRPL45"
1.90476875052148e-188,1.59696913394909,0.659,0.223,3.94306179045451e-184,"0","AKR7A3"
5.11525291060801e-188,1.11568313048304,0.914,0.437,1.05890850502496e-183,"0","LGALS3BP"
6.21847061314709e-188,0.69494854248873,0.865,0.418,1.28728560162758e-183,"0","CFB"
7.09934857531568e-188,1.58395430542405,0.658,0.223,1.4696361485761e-183,"0","CTAG2"
1.57822690831029e-187,2.17716214944481,0.472,0.119,3.26708752289313e-183,"0","PKLR"
2.68248177608637e-187,1.35343979107801,0.744,0.286,5.55300552467639e-183,"0","PRPSAP1"
3.08606937908695e-187,0.983480281948924,0.983,0.634,6.3884722216479e-183,"0","NDUFB4"
3.77579493278631e-187,1.80033297727817,0.578,0.178,7.81627309036094e-183,"0","PLA1A"
3.9012542314329e-187,1.62402327610237,0.613,0.207,8.07598638448925e-183,"0","TM7SF2"
5.25871758159898e-187,1.3037943015898,0.704,0.258,1.08860712656681e-182,"0","C8B"
9.09956338527969e-187,1.11075218822262,0.865,0.405,1.88370061638675e-182,"0","EMC3"
1.0526688552038e-186,1.15727119088356,0.889,0.413,2.1791297971574e-182,"0","MRPS7"
1.31411000837502e-186,1.22536250227243,0.837,0.357,2.72033912833713e-182,"0","COA4"
1.40555698349362e-186,1.65053471207509,0.667,0.257,2.90964351153015e-182,"0","ACSM2A"
